Title,URL,Description,Deadline,GrantWatchID
"Grants to Oregon Nonprofits, Agencies, and Schools for Student Enrichment Programs","https://www.grantwatch.com/grant/139870/grants-to-oregon-nonprofits-agencies-and-schools-for-student-enrichment-programs.html","Grants to Oregon nonprofit organizations, public agencies, and schools to conduct educational enrichment programs for students in eligible counties. Funding is intended to support in-school and extracurricular programs for children and youth demonstrating high potentia...","03/13/25","139870"
"Grants to Wisconsin Youth Groups Partnering with Nonprofits and Schools for Projects to Benefi...","https://www.grantwatch.com/grant/139929/grants-to-wisconsin-youth-groups-partnering-with-nonprofits-and-schools-for-projects-to-benefit-the-local-community-in-eligible-locations.html","Grants to Wisconsin groups of K-12 youth in partnership with nonprofit organizations, community agencies, schools, and churches for projects to benefit the local community in eligible locations. Funding is intended to support initiatives planned and implemented by chil...","03/13/25","139929"
"Grants to Massachusetts Nonprofits and IHEs to Expand Science Training Programs","https://www.grantwatch.com/grant/147036/grants-to-massachusetts-nonprofits-and-ihes-to-expand-science-training-programs.html","Grants to Massachusetts nonprofit organizations and academic institutions to expand science training programs. Funding is intended to initiate or improve programs that focus on significant talent gaps experienced by the state's life science industry. These grants may b...","03/13/25","147036"
"Grants to British Columbia Registered Charities and School Districts to Enhance the Quality of...","https://www.grantwatch.com/grant/152978/grants-to-british-columbia-registered-charities-and-school-districts-to-enhance-the-quality-of-life-for-local-residents.html","Grants to British Columbia registered charities and school districts for programs and activities that enhance the quality of life for residents in eligible locations. Funding is intended for capital projects, capacity-building projects, and direct service projects. Thi...","03/13/25","152978"
"Grants to USA Nonprofits in Multiple States for Nutrition Education and Hunger Relief Programs","https://www.grantwatch.com/grant/157631/grants-to-usa-nonprofits-in-multiple-states-for-nutrition-education-and-hunger-relief-programs.html","Grants to USA nonprofit organizations for programs addressing hunger for residents in areas in which the funding source operates. Applications will be accepted from eligible locations in West Virginia, Delaware, Maryland, Georgia, Kentucky, North Carolina, South Caroli...","03/13/25","157631"
"Grants to Pennsylvania Nonprofits, Agencies, and Educational Institutions for Conservation and...","https://www.grantwatch.com/grant/166702/grants-to-pennsylvania-nonprofits-agencies-and-educational-institutions-for-conservation-and-recreation-projects.html","Grants of up to $20,000 to Pennsylvania nonprofit organizations, municipalities and municipal agencies, county conservation districts, and educational institutions for conservation and recreation activities that benefit residents in eligible areas. Applicants must atte...","03/13/25","166702"
"Grants to Minnesota Nonprofits and Agencies in Eligible Locations for General Operating Suppor...","https://www.grantwatch.com/grant/167562/grants-to-minnesota-nonprofits-and-agencies-in-eligible-locations-for-general-operating-support-and-initiatives-to-benefit-local-residents.html","Grants of up to $10,000 to Minnesota nonprofit organizations and government agencies in eligible locations for general operating support and projects and programs to benefit local residents. Funding is intended to help local citizens maintain and develop vibrant, healt...","03/13/25","167562"
"Grants to California Nonprofits for Projects to Enhance the Quality of Life in Eligible Locati...","https://www.grantwatch.com/grant/174076/grants-to-california-nonprofits-for-projects-to-enhance-the-quality-of-life-in-eligible-locations.html","Grants to California nonprofit organizations for projects and charitable activities to enhance the quality of life for residents in eligible locations. Past grants have been awarded in the areas of culture, adult and youth services, environment, education, and communit...","03/13/25","174076"
"Grants to Washington, DC Nonprofits, For-Profits, Agencies, and IHEs to Enhance Water Quality","https://www.grantwatch.com/grant/177367/grants-to-washington-dc-nonprofits-for-profits-agencies-and-ihes-to-enhance-water-quality.html","Grants of up to $35,000 to Washington, DC nonprofit and for-profit organizations, government agencies, faith-based entities, and academic institutions for community-based projects that enhance local watersheds and bodies of water. Funding is intended to improve water q...","03/13/25","177367"
"Grants for AIDS and HIV Related Research to USA, Canada, and International Nonprofits, For-Pro...","https://www.grantwatch.com/grant/192422/grants-for-aids-and-hiv-related-research-to-usa-canada-and-international-nonprofits-for-profits-ihes-and-agencies.html","Grants to USA, Canada, and International nonprofit and for-profit organizations, IHEs, and agencies for research related to AIDS and HIV. Applicants are advised that required registrations may take several weeks to complete. Funding is intended to support multi-compone...","03/13/25","192422"
"Grants to Missouri Schools to Increase Career Awareness for Students in Eligible Regions","https://www.grantwatch.com/grant/202079/grants-to-missouri-schools-to-increase-career-awareness-for-students-in-eligible-regions.html","Grants of up to $5,000 to Missouri rural schools for activities to increase career awareness among students in eligible regions. Funding is intended for initiatives and projects that will enhance career options for students and provide opportunities for career explorat...","03/13/25","202079"
"Grants to Ohio Nonprofits for Projects and Programs to Benefit Residents in Eligible Communiti...","https://www.grantwatch.com/grant/208725/grants-to-ohio-nonprofits-for-projects-and-programs-to-benefit-residents-in-eligible-communities.html","Grants to Ohio nonprofit organizations for projects and programs to benefit residents in eligible communities. Programs will be accepted in the following focus areas: education, arts, health and human services, and community enrichment. The Foundation will accept reque...","03/13/25","208725"
"Grants to Canada Indigenous Individuals to Promote Understanding Between Indigenous and Non-In...","https://www.grantwatch.com/grant/212387/grants-to-canada-indigenous-individuals-to-promote-understanding-between-indigenous-and-non-indigenous-people.html","Grants of up to $15,000 to Canada Indigenous individuals for activities to promote understanding and acceptance between Indigenous and non-Indigenous people. Eligible individuals include artists, youth, educators, community leaders, Elders, and cultural creators. All f...","03/13/25","212387"
"Grants to Illinois Businesses in Underinvested Communities to Support Economic Development","https://www.grantwatch.com/grant/219042/grants-to-illinois-businesses-in-underinvested-communities-to-support-economic-development.html","Grants to Illinois businesses in underinvested communities to support economic development. Funding is intended to provide technical assistance to growing business entities and to strengthen cooperative business models. Desired outcomes from these projects include bett...","03/13/25","219042"
"Grants to Illinois Nonprofits to Develop or Improve Upon Strategies to Help Youth Gain Meaning...","https://www.grantwatch.com/grant/219043/grants-to-illinois-nonprofits-to-develop-or-improve-upon-strategies-to-help-youth-gain-meaningful-employment.html","Grants to Illinois nonprofit organizations to develop or improve upon strategies to help youth gain meaningful employment. Funding is intended for activities and projects that reduce barriers to job-seeking efforts, encourage learning financial skills, and enhance the ...","03/13/25","219043"
"Grants to Florida Nonprofits and Agencies for Agriculture Education Projects for PreK-12 Stude...","https://www.grantwatch.com/grant/138033/grants-to-florida-nonprofits-and-agencies-for-agriculture-education-projects-for-prek-students.html","Grants of up to $2,500 to Florida nonprofit organizations, farm bureaus, and government agencies for new and existing educational projects that teach pre-K-12 students about the importance of agriculture. Funding is intended for projects that educate students about the...","03/14/25","138033"
"Grants to Connecticut Organizations to Promote Public Health in Eligible Locations","https://www.grantwatch.com/grant/138999/grants-to-connecticut-organizations-to-promote-public-health-in-eligible-locations.html","Grants of up to $5,000 to Connecticut nonprofit, private, and public agencies to advance and benefit health in eligible communities. Funding is intended for programs and projects that lead to positive health outcomes. The grant program seeks to promote and protect the ...","03/14/25","138999"
"Grants to Michigan Nonprofits, Conservation Districts, Sportsperson Groups, and Landowners to ...","https://www.grantwatch.com/grant/140538/grants-to-michigan-nonprofits-conservation-districts-sportsperson-groups-and-landowners-to-create-deer-habitats.html","Grants of up to $15,000 to Michigan nonprofit organizations, conservation districts, sportsperson groups, tribal authorities, and private individual landowners to create deer habitats in eligible regions. Funding is also intended to support educational projects to info...","03/14/25","140538"
"Grants to Ontario Charities, Municipalities, Sports Organizations, and Individuals to Enhance ...","https://www.grantwatch.com/grant/152948/grants-to-ontario-charities-municipalities-sports-organizations-and-individuals-to-enhance-the-quality-of-life-for-local-residents.html","Grants to Ontario registered charities, qualified donees, municipalities, sports organizations, and individuals in eligible locations for programs and services to enhance the quality of life for local residents. Funding is intended for projects in a wide range of focus...","03/14/25","152948"
"In-Kind Donations and Training to North Carolina Fire Departments to Promote Fire Safety in Hi...","https://www.grantwatch.com/grant/154054/in-kind-donations-and-training-to-north-carolina-fire-departments-to-promote-fire-safety-in-high-risk-areas.html","In-kind donations of smoke detectors and installation training to North Carolina fire departments and agencies. The program is intended to decrease the number of fire-related deaths and injuries through fire safety education and the installation of smoke alarms in high...","03/14/25","154054"
"Grants to New Mexico Nonprofits to Meet the Needs of Youth, Children, and Families in Eligible...","https://www.grantwatch.com/grant/164996/grants-to-new-mexico-nonprofits-to-meet-the-needs-of-youth-children-and-families-in-eligible-counties.html","Grants to New Mexico nonprofit health and human service organizations to meet the needs of local youth, children, and families in eligible counties. Funding is intended to support activities including but not limited to those that address the basic needs of local resid...","03/14/25","164996"
"Grants to Saskatchewan First Nations and Non-First Nations Charities for Projects that Benefit...","https://www.grantwatch.com/grant/165205/grants-to-saskatchewan-first-nations-and-non-first-nations-charities-for-projects-that-benefit-eligible-first-nations-communities.html","Grants to Saskatchewan First Nations and non-First Nations charitable organizations for economic and community development projects that benefit First Nations communities in eligible regions. Applicants must complete required registrations prior to applying. Funding is...","03/14/25","165205"
"Grants to Texas Nonprofits to Provide Programming and Scholarships to Local Residents","https://www.grantwatch.com/grant/168507/grants-to-texas-nonprofits-to-provide-programming-and-scholarships-to-local-residents.html","Grants to Texas nonprofit organizations for projects benefiting older adults, youth, and underserved people, and scholarships for high school graduates in eligible locations. Funding is intended to assist nonprofits with programming in the focus areas of arts and cultu...","03/14/25","168507"
